Using report1.sqlite for SQL queries.
Running [/nfs/c3po/software/spack/opt/spack/linux-ubuntu20.04-x86_64/gcc-9.3.0/cuda-11.6.0-bs5m5wvrn6c236edh2l3yr6bajgkhz72/nsight-systems-2021.5.2/target-linux-x64/reports/nvtxsum.py report1.sqlite]... 

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                                         Range                                       
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  -------  ----------------------------------------------------------------------------------
     25.8      13708050947          2  6854025473.5  6854025473.5  6832982914  6875068033   29758673.0  PushPop  TSL:XlaCompile:#module=jit_wrapper#                                               
      8.2       4349992797          1  4349992797.0  4349992797.0  4349992797  4349992797          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_wrapper,program_id=42#                          
      8.1       4326399815          1  4326399815.0  4326399815.0  4326399815  4326399815          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_wrapper,program_id=14#                          
      7.9       4215105137          2  2107552568.5  2107552568.5  2101273397  2113831740    8880089.5  PushPop  TSL:XlaCompileGpuAsm:#module=jit_wrapper#                                         
      4.5       2402532336          8   300316542.0     1442751.5     1266758  2392500585  845370023.5  PushPop  TSL:XlaCompile:#module=jit_convert_element_type#                                  
      3.5       1837255589          2   918627794.5   918627794.5   914383154   922872435    6002828.2  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_wrapper#                                        
      3.0       1571795469          2   785897734.5   785897734.5   777171906   794623563   12340185.0  PushPop  TSL:XlaEmitGpuAsm:#module=jit_wrapper#                                            
      2.9       1529135582          1  1529135582.0  1529135582.0  1529135582  1529135582          0.0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit_wrapper,program_id=14#                
      2.9       1523791886          1  1523791886.0  1523791886.0  1523791886  1523791886          0.0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit_wrapper,program_id=42#                
      2.3       1214277669          1  1214277669.0  1214277669.0  1214277669  1214277669          0.0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_wrapper,program_id=14#               
      2.3       1208210794          1  1208210794.0  1208210794.0  1208210794  1208210794          0.0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit_wrapper,program_id=42#               
      1.6        866115099          3   288705033.0   290627192.0   248428257   327059650   39350921.4  PushPop  TSL:XlaCompile:#module=jit__normal#                                               
      0.8        432362123          2   216181061.5   216181061.5   206641132   225720991   13491497.7  PushPop  TSL:XlaCreateGpuExecutable:#module=jit_wrapper#                                   
      0.7        385528334          1   385528334.0   385528334.0   385528334   385528334          0.0  PushPop  TSL:XlaPassPipeline:#name=optimization,module=jit_wrapper,program_id=42#          
      0.7        372889669          1   372889669.0   372889669.0   372889669   372889669          0.0  PushPop  TSL:XlaPassPipeline:#name=optimization,module=jit_wrapper,program_id=14#          
      0.7        364740222          7    52105746.0    52158679.0    49523200    54694419    1920944.9  PushPop  TSL:XlaCompile:#module=jit_add#                                                   
      0.6        334776951          7    47825278.7    47966534.0    45595645    50316201    1710548.7  PushPop  TSL:XlaCompileGpuAsm:#module=jit_add#                                             
      0.6        311098094          1   311098094.0   311098094.0   311098094   311098094          0.0  PushPop  TSL:XlaPass:#name=simplification,module=jit_wrapper,program_id=42#                
      0.6        310810668         25    12432426.7    11024009.0    10980938    32561030    4329927.7  PushPop  TSL:XlaPassPipeline:#name=simplification,module=jit_wrapper,program_id=42#        
